Time,Average
01-Jun-00,14.58542857
01-Jul-00,15.14771429
01-Aug-00,12.97457143
01-Sep-00,10.74657143
01-Oct-00,7.074571429
01-Nov-00,0.394
01-Dec-00,0
01-Jan-01,0.007142857
01-Feb-01,0.829142857
01-Mar-01,0.493142857
01-Apr-01,1.544571429
01-May-01,11.74285714
01-Jun-01,24.20085714
01-Jul-01,13.21714286
01-Aug-01,9.780285714
01-Sep-01,9.457714286
01-Oct-01,7.918
01-Nov-01,2.184285714
01-Dec-01,0.000857143
01-Jan-02,0.395428571
01-Feb-02,0.054
01-Mar-02,1.976285714
01-Apr-02,4.818571429
01-May-02,11.11628571
01-Jun-02,18.26485714
01-Jul-02,22.15828571
01-Aug-02,12.29628571
01-Sep-02,10.09028571
01-Oct-02,3.310857143
01-Nov-02,2.739428571
01-Dec-02,0.038571429
01-Jan-03,0.032285714
01-Feb-03,0.505714286
01-Mar-03,2.873428571
01-Apr-03,3.240285714
01-May-03,5.817714286
01-Jun-03,22.282
01-Jul-03,11.61628571
01-Aug-03,8.716571429
01-Sep-03,8.252571429
01-Oct-03,8.509142857
01-Nov-03,0.002857143
01-Dec-03,0.906857143
01-Jan-04,0.048857143
01-Feb-04,0.015714286
01-Mar-04,0.352
01-Apr-04,5.229142857
01-May-04,5.885142857
01-Jun-04,16.04342857
01-Jul-04,17.63114286
01-Aug-04,11.01571429
01-Sep-04,21.13685714
01-Oct-04,8.263142857
01-Nov-04,0.030285714
01-Dec-04,0.037714286
01-Jan-05,0.351142857
01-Feb-05,0.231714286
01-Mar-05,3.291142857
01-Apr-05,2.794571429
01-May-05,6.618571429
01-Jun-05,10.07
01-Jul-05,17.95342857
01-Aug-05,15.79314286
01-Sep-05,9.208571429
01-Oct-05,12.56771429
01-Nov-05,0.237142857
01-Dec-05,0.181714286
01-Jan-06,0
01-Feb-06,0.067428571
01-Mar-06,0.096857143
01-Apr-06,2.512285714
01-May-06,13.34085714
01-Jun-06,12.30742857
01-Jul-06,13.17257143
01-Aug-06,8.928285714
01-Sep-06,15.01914286
01-Oct-06,2.003142857
01-Nov-06,0.31
01-Dec-06,0.05
01-Jan-07,0.013428571
01-Feb-07,2.045714286
01-Mar-07,0.568285714
01-Apr-07,3.679142857
01-May-07,6.61
01-Jun-07,16.736
01-Jul-07,21.95771429
01-Aug-07,10.32428571
